序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,更新时间
1,301678,N新恒汇,43.6,240.63,30.8,308715.0,1408883834.04,63.67,50.0,41.85,50.0,12.8,,67.83,50.88,5.35,10444618361.0,1984356903.0,-0.64,-0.95,240.63,240.63,2025-06-20 13:55:29
2,603400,N华之杰,58.75,195.52,38.87,133434.0,858415494.0,56.04,69.65,58.51,61.0,19.88,,68.09,33.15,4.8,5875000000.0,1151360410.0,-0.25,-0.54,195.52,195.52,2025-06-20 13:55:29
3,872895,花溪科技,52.52,30.0,12.12,42066.0,201641287.74,30.57,52.52,40.17,40.29,40.4,3.48,14.64,-251.19,15.18,2968640480.0,1509261988.0,0.0,0.0,228.87,333.69,2025-06-20 13:55:29
4,301038,深水规院,17.26,20.03,2.88,216182.0,343500466.41,19.89,17.26,14.4,14.52,14.38,4.08,9.69,-32.67,4.54,3850360800.0,3850360800.0,0.0,0.0,0.23,19.78,2025-06-20 13:55:29
5,300429,强力新材,14.27,20.02,2.38,1160889.0,1623030050.86,12.87,14.27,12.74,12.74,11.89,12.9,29.12,-340.3,4.39,7653010304.0,5688660097.0,0.0,0.0,16.87,19.02,2025-06-20 13:55:29
6,300480,光力科技,15.59,20.02,2.6,430617.0,637170575.16,16.4,15.59,13.46,13.52,12.99,16.39,18.2,77.05,4.3,5500613495.0,3689351362.0,0.0,0.0,2.57,20.85,2025-06-20 13:55:29
7,301292,海科新源,23.52,20.0,3.92,289152.0,658550578.82,11.38,23.52,21.29,21.3,19.6,3.88,33.97,-118.54,1.84,5240156699.0,2002021365.0,0.0,0.0,59.03,79.82,2025-06-20 13:55:29
8,300589,江龙船艇,15.12,20.0,2.52,662545.0,933190859.93,22.38,15.12,12.3,12.52,12.6,5.37,28.61,-545.23,6.93,5710340100.0,3501898052.0,0.0,0.0,3.21,21.45,2025-06-20 13:55:29
9,300485,赛升药业,13.94,19.97,2.32,530179.0,701806098.47,17.9,13.94,11.86,11.86,11.62,1.23,19.36,42.0,1.98,6714429616.0,3817011517.0,0.0,0.0,90.44,98.86,2025-06-20 13:55:29
10,300410,正业科技,7.45,19.97,1.24,310050.0,223310455.47,20.29,7.45,6.19,6.19,6.21,3.7,8.45,71.91,12.04,2735005238.0,2733534094.0,0.0,0.0,30.93,38.48,2025-06-20 13:55:29
11,300340,科恒股份,20.45,18.9,3.25,1005772.0,1929964246.08,24.59,20.64,16.41,16.5,17.2,1.91,47.79,609.64,101.25,5642019314.0,4304000293.0,-0.1,-0.24,97.2,114.59,2025-06-20 13:55:29
12,688117,圣诺生物,35.89,15.59,4.84,226834.0,759844130.0,19.74,36.98,30.85,32.48,31.05,2.75,14.41,29.97,5.94,5648582750.0,5648582750.0,-0.17,0.03,115.04,96.77,2025-06-20 13:55:29
13,300462,华铭智能,11.69,14.5,1.48,354424.0,413081535.4,21.74,12.25,10.03,10.21,10.21,4.25,25.92,-117.55,1.49,2118484455.0,1598425288.0,0.43,0.52,18.56,31.05,2025-06-20 13:55:29
14,300695,兆丰股份,64.07,12.11,6.92,64503.0,395282390.17,14.93,65.68,57.15,57.15,57.15,4.32,6.31,52.06,2.54,6551601121.0,6551601121.0,-0.05,-0.05,15.78,108.09,2025-06-20 13:55:29
15,300655,晶瑞电材,9.54,11.84,1.01,1370701.0,1274684104.1,15.83,9.85,8.5,8.5,8.53,11.17,13.74,58.09,4.21,10108316775.0,9516822770.0,-0.1,-0.1,14.11,2.36,2025-06-20 13:55:29
16,300120,经纬辉开,9.17,11.69,0.96,776762.0,688411285.44,12.79,9.3,8.25,8.31,8.21,5.01,14.73,102.73,1.76,5267192329.0,4836689008.0,0.0,-0.11,-5.27,-1.4,2025-06-20 13:55:29
17,300483,首华燃气,14.81,10.69,1.43,654579.0,939862366.75,18.16,15.74,13.31,14.01,13.38,2.04,24.37,47.52,2.14,3977305163.0,3977305163.0,-1.27,-1.2,53.15,50.51,2025-06-20 13:55:29
18,300950,德固特,20.75,10.31,1.94,139186.0,282377882.14,15.74,21.46,18.5,18.94,18.81,2.25,15.4,33.41,4.22,3163960000.0,1875276581.0,0.0,0.29,16.05,30.09,2025-06-20 13:55:29
19,603616,韩建河山,4.46,10.12,0.41,188029.0,79897874.0,10.12,4.46,4.05,4.05,4.05,2.38,4.93,113.16,7.36,1745278280.0,1700901280.0,0.0,0.0,20.87,27.07,2025-06-20 13:55:29
20,600798,宁波海运,4.36,10.1,0.4,1666608.0,707750864.0,13.89,4.36,3.81,3.93,3.96,1.2,13.81,-28.31,1.34,5260489116.0,5260489116.0,0.0,0.0,35.83,43.89,2025-06-20 13:55:29
21,300269,联建光电,6.0,10.09,0.55,1740293.0,1015446168.31,18.72,6.33,5.31,5.44,5.45,2.64,33.11,-184.16,38.12,3294682950.0,3154050618.0,0.0,0.17,44.93,50.75,2025-06-20 13:55:29
22,002067,景兴纸业,3.83,10.06,0.35,1224125.0,466875687.86,3.45,3.83,3.71,3.71,3.48,7.38,10.93,-51.39,0.84,4815068608.0,4289401108.0,0.0,0.0,-5.67,-3.28,2025-06-20 13:55:29
23,600110,诺德股份,5.15,10.04,0.47,1299074.0,661628129.0,5.56,5.15,4.89,4.95,4.68,1.48,7.49,-59.3,1.56,8936181800.0,8936181800.0,0.0,0.0,26.54,28.75,2025-06-20 13:55:29
24,603212,赛伍技术,10.63,10.04,0.97,148740.0,157708639.0,1.45,10.63,10.49,10.49,9.66,3.02,3.4,-35.07,1.76,4650525461.0,4650525461.0,0.0,0.0,-0.19,4.42,2025-06-20 13:55:29
