序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额,更新时间
1,08117,中国基础能源,0.13,0.061,88.41,0.079,0.16,0.079,0.069,49127148.0,6506615.0,2025-06-20 13:55:35
2,01561,联洋智能控股,0.14,0.053,60.92,0.092,0.21,0.092,0.087,18576000.0,2711216.0,2025-06-20 13:55:35
3,00559,德泰新能源集团,0.198,0.062,45.59,0.13,0.234,0.13,0.136,8482333.0,1370812.0,2025-06-20 13:55:35
4,00797,第七大道,1.44,0.35,32.11,1.09,1.6,1.09,1.09,2006000.0,2931945.0,2025-06-20 13:55:35
5,08347,F8企业,0.148,0.035,30.97,0.115,0.205,0.115,0.113,9281600.0,1581118.0,2025-06-20 13:55:35
6,01592,基石控股,0.038,0.008,26.67,0.03,0.049,0.03,0.03,43915000.0,1811835.0,2025-06-20 13:55:35
7,08132,百能国际能源,0.066,0.012,22.22,0.058,0.069,0.058,0.054,3960000.0,259270.0,2025-06-20 13:55:35
8,00306,冠忠巴士集团,1.68,0.29,20.86,1.59,1.79,1.59,1.39,1576000.0,2653100.0,2025-06-20 13:55:35
9,01959,世纪联合控股,0.33,0.05,17.86,0.33,0.33,0.33,0.28,4000.0,1320.0,2025-06-20 13:55:35
10,00723,信保环球控股,0.235,0.035,17.5,0.224,0.248,0.201,0.2,3480906.0,796314.0,2025-06-20 13:55:35
11,02510,德翔海运,8.65,1.25,16.89,7.5,8.93,7.41,7.4,31858000.0,267098830.0,2025-06-20 13:55:35
12,02159,麦迪卫康,0.64,0.09,16.36,0.58,0.69,0.58,0.55,1220800.0,777304.0,2025-06-20 13:55:35
13,08292,盛良物流,0.5,0.07,16.28,0.45,0.5,0.45,0.43,2650000.0,1237900.0,2025-06-20 13:55:35
14,00933,非凡领越,0.395,0.055,16.18,0.345,0.42,0.345,0.34,13421207.0,5291088.0,2025-06-20 13:55:35
15,01939,东京中央拍卖,3.58,0.47,15.11,3.12,3.76,3.0,3.11,4508000.0,15632860.0,2025-06-20 13:55:35
16,06860,指尖悦动,0.189,0.023,13.86,0.166,0.197,0.163,0.166,18243000.0,3396101.0,2025-06-20 13:55:35
17,00681,中民控股,0.034,0.004,13.33,0.032,0.036,0.032,0.03,38971238.0,1326551.0,2025-06-20 13:55:35
18,01897,美亨实业,0.485,0.055,12.79,0.485,0.485,0.485,0.43,26000.0,12610.0,2025-06-20 13:55:35
19,08006,华泰瑞银,0.103,0.011,11.96,0.103,0.103,0.103,0.092,40000.0,4120.0,2025-06-20 13:55:35
20,01091,南方锰业,0.335,0.035,11.67,0.3,0.34,0.3,0.3,11223000.0,3667605.0,2025-06-20 13:55:35
21,02251,鹰瞳科技-B,12.4,1.22,10.91,11.5,12.8,11.2,11.18,670635.0,8150959.0,2025-06-20 13:55:35
22,01225,隆成金融,0.255,0.024,10.39,0.225,0.265,0.225,0.231,470000.0,120090.0,2025-06-20 13:55:35
23,08041,荟萃国际(控股),0.64,0.06,10.34,0.57,0.79,0.57,0.58,4760000.0,3373600.0,2025-06-20 13:55:35
24,03839,正大企业国际,2.11,0.19,9.9,1.94,2.14,1.94,1.92,960120.0,1977275.0,2025-06-20 13:55:35
25,01683,旷逸国际,0.89,0.08,9.88,0.83,0.89,0.81,0.81,4990000.0,4286880.0,2025-06-20 13:55:35
